 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Hydrogen

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.0100E-01 g/cm3 = 6.0097E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 500.00 MeV   2.403E-01  9.333E-05   55.57 mm     2.38 mm   156.82 um  
 550.00 MeV   2.219E-01  8.549E-05   66.34 mm     2.82 mm   187.08 um  
 600.00 MeV   2.065E-01  7.891E-05   77.96 mm     3.27 mm   219.59 um  
 650.00 MeV   1.933E-01  7.330E-05   90.42 mm     3.71 mm   254.31 um  
 700.00 MeV   1.819E-01  6.846E-05  103.68 mm     4.16 mm   291.16 um  
 800.00 MeV   1.632E-01  6.052E-05  132.57 mm     5.83 mm   371.09 um  
 900.00 MeV   1.485E-01  5.428E-05  164.54 mm     7.38 mm   459.00 um  
   1.00 GeV   1.366E-01  4.925E-05  199.48 mm     8.88 mm   554.53 um  
   1.10 GeV   1.268E-01  4.509E-05  237.30 mm    10.37 mm   657.32 um  
   1.20 GeV   1.185E-01  4.161E-05  277.89 mm    11.86 mm   767.06 um  
   1.30 GeV   1.115E-01  3.864E-05  321.18 mm    13.34 mm   883.46 um  
   1.40 GeV   1.054E-01  3.607E-05  367.08 mm    14.84 mm     1.01 mm  
   1.50 GeV   1.001E-01  3.384E-05  415.51 mm    16.35 mm     1.14 mm  
   1.60 GeV   9.548E-02  3.188E-05  466.39 mm    17.86 mm     1.27 mm  
   1.70 GeV   9.136E-02  3.013E-05  519.66 mm    19.39 mm     1.41 mm  
   1.80 GeV   8.769E-02  2.858E-05  575.24 mm    20.92 mm     1.56 mm  
   2.00 GeV   8.141E-02  2.592E-05  693.03 mm    26.75 mm     1.86 mm  
   2.25 GeV   7.510E-02  2.323E-05  852.13 mm    34.96 mm     2.27 mm  
   2.50 GeV   7.002E-02  2.107E-05    1.02 m     42.56 mm     2.71 mm  
   2.75 GeV   6.584E-02  1.928E-05    1.21 m     49.83 mm     3.17 mm  
   3.00 GeV   6.236E-02  1.778E-05    1.40 m     56.90 mm     3.66 mm  
   3.25 GeV   5.940E-02  1.651E-05    1.61 m     63.82 mm     4.16 mm  
   3.50 GeV   5.687E-02  1.540E-05    1.82 m     70.64 mm     4.68 mm  
   3.75 GeV   5.467E-02  1.445E-05    2.04 m     77.37 mm     5.22 mm  
   4.00 GeV   5.275E-02  1.360E-05    2.27 m     84.02 mm     5.78 mm  
   4.50 GeV   4.956E-02  1.219E-05    2.76 m    108.62 mm     6.92 mm  
   5.00 GeV   4.702E-02  1.105E-05    3.28 m    130.82 mm     8.12 mm  
   5.50 GeV   4.495E-02  1.011E-05    3.82 m    151.58 mm     9.35 mm  
   6.00 GeV   4.325E-02  9.321E-06    4.38 m    171.31 mm    10.60 mm  
   6.50 GeV   4.182E-02  8.650E-06    4.97 m    190.24 mm    11.89 mm  
   7.00 GeV   4.061E-02  8.071E-06    5.57 m    208.53 mm    13.19 mm  
   8.00 GeV   3.868E-02  7.125E-06    6.83 m    273.90 mm    15.83 mm  
   9.00 GeV   3.723E-02  6.382E-06    8.14 m    330.78 mm    18.50 mm  
  10.00 GeV   3.611E-02  5.783E-06    9.49 m    382.45 mm    21.18 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.0099E+00                 eV / Angstrom 
  2.0099E+01                keV / micron   
  2.0099E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.3445E+00                 eV / (1E15 atoms/cm2)
  2.1642E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
