 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Si- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  60.00 keV   9.284E-01  2.702E-01    2575 A       846 A       728 A   
  65.00 keV   9.579E-01  2.586E-01    2777 A       887 A       772 A   
  70.00 keV   9.861E-01  2.482E-01    2978 A       926 A       814 A   
  80.00 keV   1.040E+00  2.299E-01    3376 A      1000 A       895 A   
  90.00 keV   1.091E+00  2.146E-01    3768 A      1067 A       971 A   
 100.00 keV   1.140E+00  2.014E-01    4153 A      1129 A      1043 A   
 110.00 keV   1.189E+00  1.900E-01    4530 A      1186 A      1111 A   
 120.00 keV   1.237E+00  1.800E-01    4900 A      1239 A      1176 A   
 130.00 keV   1.285E+00  1.711E-01    5263 A      1288 A      1237 A   
 140.00 keV   1.333E+00  1.632E-01    5618 A      1333 A      1295 A   
 150.00 keV   1.381E+00  1.560E-01    5965 A      1375 A      1351 A   
 160.00 keV   1.429E+00  1.496E-01    6305 A      1414 A      1404 A   
 170.00 keV   1.476E+00  1.437E-01    6637 A      1451 A      1454 A   
 180.00 keV   1.524E+00  1.383E-01    6963 A      1485 A      1502 A   
 200.00 keV   1.618E+00  1.289E-01    7593 A      1548 A      1591 A   
 225.00 keV   1.735E+00  1.189E-01    8343 A      1617 A      1692 A   
 250.00 keV   1.850E+00  1.106E-01    9056 A      1676 A      1782 A   
 275.00 keV   1.963E+00  1.034E-01    9735 A      1728 A      1864 A   
 300.00 keV   2.074E+00  9.724E-02    1.04 um     1774 A      1938 A   
 325.00 keV   2.183E+00  9.184E-02    1.10 um     1814 A      2005 A   
 350.00 keV   2.289E+00  8.707E-02    1.16 um     1850 A      2067 A   
 375.00 keV   2.392E+00  8.283E-02    1.22 um     1883 A      2124 A   
 400.00 keV   2.493E+00  7.902E-02    1.27 um     1912 A      2176 A   
 450.00 keV   2.687E+00  7.247E-02    1.38 um     1965 A      2270 A   
 500.00 keV   2.870E+00  6.702E-02    1.48 um     2010 A      2351 A   
 550.00 keV   3.043E+00  6.241E-02    1.57 um     2049 A      2423 A   
 600.00 keV   3.206E+00  5.845E-02    1.66 um     2082 A      2487 A   
 650.00 keV   3.360E+00  5.501E-02    1.74 um     2112 A      2544 A   
 700.00 keV   3.505E+00  5.199E-02    1.82 um     2138 A      2597 A   
 800.00 keV   3.772E+00  4.692E-02    1.98 um     2188 A      2688 A   
 900.00 keV   4.010E+00  4.283E-02    2.12 um     2229 A      2766 A   
   1.00 MeV   4.223E+00  3.946E-02    2.26 um     2265 A      2833 A   
   1.10 MeV   4.414E+00  3.661E-02    2.39 um     2296 A      2893 A   
   1.20 MeV   4.584E+00  3.419E-02    2.52 um     2323 A      2947 A   
   1.30 MeV   4.737E+00  3.209E-02    2.64 um     2348 A      2995 A   
   1.40 MeV   4.874E+00  3.025E-02    2.76 um     2370 A      3040 A   
   1.50 MeV   4.997E+00  2.863E-02    2.88 um     2390 A      3081 A   
   1.60 MeV   5.107E+00  2.719E-02    2.99 um     2409 A      3119 A   
   1.70 MeV   5.206E+00  2.590E-02    3.10 um     2427 A      3154 A   
   1.80 MeV   5.294E+00  2.473E-02    3.21 um     2444 A      3188 A   
   2.00 MeV   5.442E+00  2.271E-02    3.42 um     2483 A      3249 A   
   2.25 MeV   5.584E+00  2.064E-02    3.68 um     2534 A      3318 A   
   2.50 MeV   5.687E+00  1.894E-02    3.94 um     2580 A      3380 A   
   2.75 MeV   5.759E+00  1.751E-02    4.19 um     2623 A      3438 A   
   3.00 MeV   5.806E+00  1.630E-02    4.44 um     2663 A      3491 A   
   3.25 MeV   5.835E+00  1.526E-02    4.69 um     2702 A      3541 A   
   3.50 MeV   5.848E+00  1.435E-02    4.93 um     2740 A      3589 A   
   3.75 MeV   5.850E+00  1.356E-02    5.18 um     2776 A      3634 A   
   4.00 MeV   5.843E+00  1.285E-02    5.43 um     2811 A      3678 A   
   4.50 MeV   5.810E+00  1.165E-02    5.92 um     2923 A      3761 A   
   5.00 MeV   5.761E+00  1.066E-02    6.42 um     3030 A      3840 A   
   5.50 MeV   5.702E+00  9.842E-03    6.92 um     3135 A      3916 A   
   6.00 MeV   5.637E+00  9.146E-03    7.43 um     3238 A      3990 A   
   6.50 MeV   5.569E+00  8.548E-03    7.95 um     3340 A      4062 A   
   7.00 MeV   5.499E+00  8.029E-03    8.47 um     3440 A      4133 A   
   8.00 MeV   5.360E+00  7.168E-03    9.54 um     3792 A      4272 A   
   9.00 MeV   5.224E+00  6.484E-03   10.63 um     4129 A      4410 A   
  10.00 MeV   5.094E+00  5.926E-03   11.75 um     4455 A      4547 A   
  11.00 MeV   4.969E+00  5.462E-03   12.90 um     4774 A      4684 A   
  12.00 MeV   4.852E+00  5.069E-03   14.08 um     5087 A      4821 A   
  13.00 MeV   4.740E+00  4.732E-03   15.29 um     5396 A      4960 A   
  14.00 MeV   4.634E+00  4.439E-03   16.53 um     5701 A      5101 A   
  15.00 MeV   4.533E+00  4.182E-03   17.79 um     6003 A      5243 A   
  16.00 MeV   4.437E+00  3.956E-03   19.08 um     6304 A      5386 A   
  17.00 MeV   4.345E+00  3.753E-03   20.40 um     6603 A      5532 A   
  18.00 MeV   4.257E+00  3.572E-03   21.75 um     6900 A      5680 A   
  20.00 MeV   4.093E+00  3.260E-03   24.52 um     7991 A      5983 A   
  22.50 MeV   3.906E+00  2.942E-03   28.14 um     9552 A      6374 A   
  25.00 MeV   3.747E+00  2.684E-03   31.93 um     1.10 um     6780 A   
  27.50 MeV   3.593E+00  2.470E-03   35.88 um     1.24 um     7200 A   
  30.00 MeV   3.432E+00  2.289E-03   40.00 um     1.38 um     7636 A   
  32.50 MeV   3.292E+00  2.134E-03   44.31 um     1.51 um     8089 A   
  35.00 MeV   3.163E+00  1.999E-03   48.80 um     1.64 um     8559 A   
  37.50 MeV   3.045E+00  1.882E-03   53.47 um     1.78 um     9046 A   
  40.00 MeV   2.934E+00  1.778E-03   58.32 um     1.91 um     9550 A   
  45.00 MeV   2.737E+00  1.603E-03   68.54 um     2.41 um     1.06 um  
  50.00 MeV   2.564E+00  1.460E-03   79.48 um     2.87 um     1.17 um  
  55.00 MeV   2.412E+00  1.342E-03   91.14 um     3.32 um     1.29 um  
  60.00 MeV   2.277E+00  1.243E-03  103.50 um     3.77 um     1.42 um  
  65.00 MeV   2.157E+00  1.158E-03  116.58 um     4.21 um     1.55 um  
  70.00 MeV   2.048E+00  1.084E-03  130.37 um     4.65 um     1.69 um  
  80.00 MeV   1.861E+00  9.628E-04  160.07 um     6.29 um     1.99 um  
  90.00 MeV   1.705E+00  8.670E-04  192.62 um     7.82 um     2.32 um  
 100.00 MeV   1.573E+00  7.893E-04  228.02 um     9.31 um     2.67 um  
 110.00 MeV   1.460E+00  7.249E-04  266.27 um    10.79 um     3.05 um  
 120.00 MeV   1.363E+00  6.707E-04  307.36 um    12.28 um     3.46 um  
 130.00 MeV   1.278E+00  6.243E-04  351.30 um    13.79 um     3.90 um  
 140.00 MeV   1.202E+00  5.842E-04  398.07 um    15.33 um     4.36 um  
 150.00 MeV   1.136E+00  5.492E-04  447.68 um    16.89 um     4.84 um  
 160.00 MeV   1.076E+00  5.183E-04  500.10 um    18.48 um     5.36 um  
 170.00 MeV   1.023E+00  4.908E-04  555.34 um    20.10 um     5.90 um  
 180.00 MeV   9.750E-01  4.663E-04  613.39 um    21.75 um     6.47 um  
 200.00 MeV   8.918E-01  4.241E-04  737.75 um    28.05 um     7.68 um  
 225.00 MeV   8.070E-01  3.814E-04  908.63 um    37.12 um     9.34 um  
 250.00 MeV   7.384E-01  3.469E-04    1.10 mm    45.75 um    11.17 um  
 275.00 MeV   6.822E-01  3.183E-04    1.30 mm    54.21 um    13.15 um  
 300.00 MeV   6.357E-01  2.942E-04    1.52 mm    62.63 um    15.28 um  
 325.00 MeV   5.971E-01  2.737E-04    1.76 mm    71.05 um    17.55 um  
 350.00 MeV   5.648E-01  2.559E-04    2.01 mm    79.47 um    19.96 um  
 375.00 MeV   5.356E-01  2.404E-04    2.27 mm    87.91 um    22.49 um  
 400.00 MeV   5.085E-01  2.268E-04    2.55 mm    96.44 um    25.16 um  
 450.00 MeV   4.626E-01  2.038E-04    3.14 mm   128.55 um    30.87 um  
 500.00 MeV   4.252E-01  1.852E-04    3.80 mm   158.65 um    37.08 um  
 550.00 MeV   3.941E-01  1.698E-04    4.51 mm   187.96 um    43.78 um  
