 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> April 24, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_DeuteriumTarget

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.0590E-01 g/cm3 = 6.1996E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  17.00 MeV   3.271E-02  1.413E-05   13.66 mm   516.79 um   138.35 um  
  18.00 MeV   3.117E-02  1.341E-05   15.18 mm   560.55 um   153.49 um  
  20.00 MeV   2.851E-02  1.217E-05   18.43 mm   727.21 um   185.89 um  
  22.50 MeV   2.581E-02  1.092E-05   22.91 mm   966.09 um   230.26 um  
  25.00 MeV   2.362E-02  9.915E-06   27.83 mm     1.19 mm   278.82 um  
  27.50 MeV   2.180E-02  9.082E-06   33.18 mm     1.41 mm   331.47 um  
  30.00 MeV   2.027E-02  8.382E-06   38.95 mm     1.64 mm   388.12 um  
  32.50 MeV   1.896E-02  7.786E-06   45.15 mm     1.86 mm   448.70 um  
  35.00 MeV   1.782E-02  7.271E-06   51.75 mm     2.08 mm   513.11 um  
  37.50 MeV   1.683E-02  6.822E-06   58.76 mm     2.31 mm   581.29 um  
  40.00 MeV   1.595E-02  6.428E-06   66.17 mm     2.54 mm   653.16 um  
  45.00 MeV   1.448E-02  5.765E-06   82.15 mm     3.41 mm   807.79 um  
  50.00 MeV   1.328E-02  5.230E-06   99.67 mm     4.22 mm   976.45 um  
  55.00 MeV   1.229E-02  4.788E-06  118.68 mm     5.01 mm     1.16 mm  
  60.00 MeV   1.145E-02  4.418E-06  139.15 mm     5.79 mm     1.35 mm  
  65.00 MeV   1.074E-02  4.102E-06  161.04 mm     6.58 mm     1.56 mm  
  70.00 MeV   1.012E-02  3.830E-06  184.32 mm     7.36 mm     1.78 mm  
  80.00 MeV   9.112E-03  3.384E-06  234.89 mm    10.28 mm     2.26 mm  
  90.00 MeV   8.314E-03  3.034E-06  290.69 mm    12.98 mm     2.78 mm  
 100.00 MeV   7.669E-03  2.751E-06  351.51 mm    15.59 mm     3.35 mm  
 110.00 MeV   7.137E-03  2.518E-06  417.15 mm    18.17 mm     3.95 mm  
 120.00 MeV   6.689E-03  2.322E-06  487.44 mm    20.73 mm     4.60 mm  
 130.00 MeV   6.308E-03  2.156E-06  562.20 mm    23.29 mm     5.28 mm  
 140.00 MeV   5.979E-03  2.012E-06  641.28 mm    25.86 mm     5.99 mm  
 150.00 MeV   5.692E-03  1.887E-06  724.52 mm    28.44 mm     6.74 mm  
 160.00 MeV   5.440E-03  1.777E-06  811.79 mm    31.04 mm     7.52 mm  
 170.00 MeV   5.217E-03  1.680E-06  902.94 mm    33.64 mm     8.33 mm  
 180.00 MeV   5.017E-03  1.593E-06  997.86 mm    36.25 mm     9.17 mm  
 200.00 MeV   4.677E-03  1.444E-06    1.20 m     46.08 mm    10.93 mm  
 225.00 MeV   4.335E-03  1.293E-06    1.47 m     59.89 mm    13.27 mm  
 250.00 MeV   4.060E-03  1.172E-06    1.76 m     72.61 mm    15.75 mm  
 275.00 MeV   3.835E-03  1.073E-06    2.07 m     84.73 mm    18.35 mm  
 300.00 MeV   3.647E-03  9.889E-07    2.39 m     96.45 mm    21.06 mm  
 325.00 MeV   3.488E-03  9.177E-07    2.73 m    107.88 mm    23.86 mm  
 350.00 MeV   3.352E-03  8.563E-07    3.09 m    119.09 mm    26.76 mm  
 375.00 MeV   3.234E-03  8.028E-07    3.45 m    130.09 mm    29.72 mm  
 400.00 MeV   3.131E-03  7.558E-07    3.84 m    140.93 mm    32.76 mm  
 450.00 MeV   2.961E-03  6.770E-07    4.63 m    180.68 mm    39.00 mm  
 500.00 MeV   2.826E-03  6.134E-07    5.47 m    216.37 mm    45.43 mm  
 550.00 MeV   2.717E-03  5.611E-07    6.35 m    249.52 mm    52.00 mm  
 600.00 MeV   2.627E-03  5.171E-07    7.26 m    280.85 mm    58.68 mm  
 650.00 MeV   2.553E-03  4.798E-07    8.20 m    310.74 mm    65.43 mm  
 700.00 MeV   2.490E-03  4.476E-07    9.16 m    339.45 mm    72.24 mm  
 800.00 MeV   2.391E-03  3.949E-07   11.15 m    441.28 mm    85.93 mm  
 900.00 MeV   2.317E-03  3.536E-07   13.21 m    529.30 mm    99.63 mm  
   1.00 GeV   2.262E-03  3.203E-07   15.33 m    608.68 mm   113.25 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.0589E+00                 eV / Angstrom 
  2.0589E+01                keV / micron   
  2.0589E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.3210E+00                 eV / (1E15 atoms/cm2)
  1.6651E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
