 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Boron

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 300.00 MeV   2.871E-01  1.231E-04    2.45 mm   101.27 um    16.58 um  
 325.00 MeV   2.678E-01  1.144E-04    2.83 mm   114.98 um    19.10 um  
 350.00 MeV   2.512E-01  1.069E-04    3.24 mm   128.89 um    21.80 um  
 375.00 MeV   2.371E-01  1.004E-04    3.67 mm   142.97 um    24.66 um  
 400.00 MeV   2.249E-01  9.466E-05    4.14 mm   157.23 um    27.67 um  
 450.00 MeV   2.042E-01  8.499E-05    5.13 mm   211.04 um    34.16 um  
 500.00 MeV   1.874E-01  7.717E-05    6.22 mm   261.39 um    41.24 um  
 550.00 MeV   1.734E-01  7.072E-05    7.40 mm   310.39 um    48.90 um  
 600.00 MeV   1.617E-01  6.529E-05    8.67 mm   358.93 um    57.11 um  
 650.00 MeV   1.516E-01  6.067E-05   10.03 mm   407.44 um    65.86 um  
 700.00 MeV   1.429E-01  5.668E-05   11.47 mm   456.16 um    75.13 um  
 800.00 MeV   1.285E-01  5.013E-05   14.61 mm   637.33 um    95.20 um  
 900.00 MeV   1.172E-01  4.499E-05   18.08 mm   804.84 um   117.22 um  
   1.00 GeV   1.080E-01  4.083E-05   21.86 mm   967.12 um   141.09 um  
   1.10 GeV   1.004E-01  3.740E-05   25.95 mm     1.13 mm   166.73 um  
   1.20 GeV   9.398E-02  3.452E-05   30.33 mm     1.29 mm   194.06 um  
   1.30 GeV   8.851E-02  3.206E-05   34.99 mm     1.45 mm   222.99 um  
   1.40 GeV   8.379E-02  2.994E-05   39.93 mm     1.61 mm   253.47 um  
   1.50 GeV   7.967E-02  2.809E-05   45.14 mm     1.77 mm   285.44 um  
   1.60 GeV   7.604E-02  2.647E-05   50.61 mm     1.93 mm   318.82 um  
   1.70 GeV   7.282E-02  2.503E-05   56.33 mm     2.10 mm   353.56 um  
   1.80 GeV   6.994E-02  2.374E-05   62.29 mm     2.26 mm   389.60 um  
   2.00 GeV   6.501E-02  2.154E-05   74.91 mm     2.88 mm   465.44 um  
   2.25 GeV   6.005E-02  1.931E-05   91.94 mm     3.76 mm   566.72 um  
   2.50 GeV   5.604E-02  1.752E-05  110.27 mm     4.57 mm   674.56 um  
   2.75 GeV   5.275E-02  1.604E-05  129.84 mm     5.34 mm   788.34 um  
   3.00 GeV   4.999E-02  1.479E-05  150.55 mm     6.10 mm   907.52 um  
   3.25 GeV   4.765E-02  1.374E-05  172.35 mm     6.84 mm     1.03 mm  
   3.50 GeV   4.564E-02  1.282E-05  195.16 mm     7.56 mm     1.16 mm  
   3.75 GeV   4.389E-02  1.203E-05  218.92 mm     8.28 mm     1.29 mm  
   4.00 GeV   4.237E-02  1.133E-05  243.59 mm     8.99 mm     1.43 mm  
   4.50 GeV   3.982E-02  1.015E-05  295.39 mm    11.60 mm     1.71 mm  
   5.00 GeV   3.779E-02  9.207E-06  350.23 mm    13.96 mm     2.00 mm  
   5.50 GeV   3.614E-02  8.426E-06  407.80 mm    16.17 mm     2.31 mm  
   6.00 GeV   3.478E-02  7.771E-06  467.81 mm    18.27 mm     2.62 mm  
   6.50 GeV   3.363E-02  7.213E-06  530.02 mm    20.28 mm     2.93 mm  
   7.00 GeV   3.265E-02  6.732E-06  594.22 mm    22.23 mm     3.25 mm  
   8.00 GeV   3.110E-02  5.944E-06  727.76 mm    29.18 mm     3.90 mm  
   9.00 GeV   2.992E-02  5.326E-06  867.28 mm    35.24 mm     4.56 mm  
  10.00 GeV   2.900E-02  4.828E-06    1.01 m     40.74 mm     5.23 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3501E+01                 eV / Angstrom 
  2.3501E+02                keV / micron   
  2.3501E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7952E+01                 eV / (1E15 atoms/cm2)
  4.6997E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
