 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Aluminum

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  27.50 MeV   1.664E+00  1.062E-03   46.41 um     1.64 um     8949 A   
  30.00 MeV   1.576E+00  9.836E-04   52.12 um     1.84 um     9636 A   
  32.50 MeV   1.502E+00  9.167E-04   58.13 um     2.03 um     1.04 um  
  35.00 MeV   1.434E+00  8.587E-04   64.43 um     2.23 um     1.11 um  
  37.50 MeV   1.372E+00  8.080E-04   71.02 um     2.43 um     1.19 um  
  40.00 MeV   1.315E+00  7.632E-04   77.91 um     2.62 um     1.27 um  
  45.00 MeV   1.212E+00  6.876E-04   92.56 um     3.36 um     1.44 um  
  50.00 MeV   1.124E+00  6.263E-04  108.41 um     4.05 um     1.63 um  
  55.00 MeV   1.046E+00  5.755E-04  125.47 um     4.74 um     1.83 um  
  60.00 MeV   9.782E-01  5.327E-04  143.76 um     5.41 um     2.04 um  
  65.00 MeV   9.182E-01  4.960E-04  163.27 um     6.10 um     2.26 um  
  70.00 MeV   8.648E-01  4.643E-04  184.03 um     6.79 um     2.50 um  
  80.00 MeV   7.743E-01  4.122E-04  229.24 um     9.36 um     3.02 um  
  90.00 MeV   7.010E-01  3.710E-04  279.46 um    11.79 um     3.60 um  
 100.00 MeV   6.406E-01  3.376E-04  334.68 um    14.19 um     4.23 um  
 110.00 MeV   5.902E-01  3.100E-04  394.85 um    16.59 um     4.91 um  
 120.00 MeV   5.477E-01  2.867E-04  459.92 um    19.02 um     5.66 um  
 130.00 MeV   5.114E-01  2.668E-04  529.83 um    21.49 um     6.45 um  
 140.00 MeV   4.803E-01  2.496E-04  604.47 um    24.00 um     7.30 um  
 150.00 MeV   4.532E-01  2.346E-04  683.77 um    26.56 um     8.21 um  
 160.00 MeV   4.295E-01  2.214E-04  767.62 um    29.15 um     9.16 um  
 170.00 MeV   4.086E-01  2.096E-04  855.92 um    31.79 um    10.17 um  
 180.00 MeV   3.901E-01  1.991E-04  948.58 um    34.46 um    11.22 um  
 200.00 MeV   3.586E-01  1.810E-04    1.15 mm    44.54 um    13.47 um  
 225.00 MeV   3.269E-01  1.628E-04    1.42 mm    58.87 um    16.53 um  
 250.00 MeV   3.013E-01  1.480E-04    1.71 mm    72.32 um    19.86 um  
 275.00 MeV   2.799E-01  1.357E-04    2.03 mm    85.41 um    23.44 um  
 300.00 MeV   2.614E-01  1.254E-04    2.37 mm    98.37 um    27.26 um  
 325.00 MeV   2.450E-01  1.167E-04    2.74 mm   111.36 um    31.33 um  
 350.00 MeV   2.302E-01  1.091E-04    3.13 mm   124.49 um    35.66 um  
 375.00 MeV   2.173E-01  1.025E-04    3.54 mm   137.82 um    40.23 um  
 400.00 MeV   2.064E-01  9.662E-05    3.98 mm   151.33 um    45.04 um  
 450.00 MeV   1.879E-01  8.680E-05    4.92 mm   201.96 um    55.37 um  
 500.00 MeV   1.728E-01  7.886E-05    5.94 mm   249.35 um    66.60 um  
 550.00 MeV   1.602E-01  7.230E-05    7.06 mm   295.43 um    78.70 um  
 600.00 MeV   1.496E-01  6.679E-05    8.25 mm   341.04 um    91.64 um  
 650.00 MeV   1.405E-01  6.208E-05    9.53 mm   386.60 um   105.41 um  
 700.00 MeV   1.325E-01  5.802E-05   10.88 mm   432.31 um   119.97 um  
 800.00 MeV   1.195E-01  5.136E-05   13.82 mm   601.34 um   151.40 um  
 900.00 MeV   1.092E-01  4.611E-05   17.06 mm   757.56 um   185.78 um  
   1.00 GeV   1.008E-01  4.187E-05   20.59 mm   908.77 um   222.94 um  
   1.10 GeV   9.381E-02  3.837E-05   24.40 mm     1.06 mm   262.77 um  
   1.20 GeV   8.794E-02  3.542E-05   28.47 mm     1.21 mm   305.14 um  
   1.30 GeV   8.292E-02  3.292E-05   32.80 mm     1.36 mm   349.93 um  
   1.40 GeV   7.858E-02  3.075E-05   37.39 mm     1.50 mm   397.03 um  
   1.50 GeV   7.478E-02  2.886E-05   42.21 mm     1.65 mm   446.35 um  
   1.60 GeV   7.144E-02  2.720E-05   47.28 mm     1.81 mm   497.79 um  
   1.70 GeV   6.847E-02  2.573E-05   52.57 mm     1.96 mm   551.26 um  
   1.80 GeV   6.582E-02  2.441E-05   58.08 mm     2.11 mm   606.67 um  
   2.00 GeV   6.127E-02  2.215E-05   69.73 mm     2.68 mm   723.08 um  
   2.25 GeV   5.668E-02  1.987E-05   85.43 mm     3.49 mm   878.19 um  
   2.50 GeV   5.297E-02  1.804E-05  102.32 mm     4.23 mm     1.04 mm  
   2.75 GeV   4.992E-02  1.652E-05  120.31 mm     4.95 mm     1.22 mm  
   3.00 GeV   4.737E-02  1.524E-05  139.33 mm     5.64 mm     1.40 mm  
   3.25 GeV   4.520E-02  1.416E-05  159.33 mm     6.31 mm     1.59 mm  
   3.50 GeV   4.334E-02  1.322E-05  180.23 mm     6.98 mm     1.78 mm  
   3.75 GeV   4.172E-02  1.240E-05  201.98 mm     7.64 mm     1.98 mm  
   4.00 GeV   4.031E-02  1.168E-05  224.54 mm     8.28 mm     2.19 mm  
   4.50 GeV   3.795E-02  1.048E-05  271.86 mm    10.66 mm     2.62 mm  
   5.00 GeV   3.607E-02  9.504E-06  321.87 mm    12.81 mm     3.06 mm  
   5.50 GeV   3.455E-02  8.701E-06  374.28 mm    14.82 mm     3.51 mm  
   6.00 GeV   3.329E-02  8.027E-06  428.84 mm    16.72 mm     3.98 mm  
   6.50 GeV   3.223E-02  7.453E-06  485.33 mm    18.55 mm     4.45 mm  
   7.00 GeV   3.134E-02  6.957E-06  543.55 mm    20.31 mm     4.93 mm  
   8.00 GeV   2.991E-02  6.146E-06  664.44 mm    26.57 mm     5.90 mm  
   9.00 GeV   2.884E-02  5.509E-06  790.44 mm    32.02 mm     6.88 mm  
  10.00 GeV   2.801E-02  4.995E-06  920.65 mm    36.96 mm     7.86 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.7019E+01                 eV / Angstrom 
  2.7019E+02                keV / micron   
  2.7019E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.4804E+01                 eV / (1E15 atoms/cm2)
  9.3698E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
