 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> June 13, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_Boron.dat

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 140.00 keV   6.452E-01  7.073E-04    9079 A       527 A       712 A   
 150.00 keV   6.284E-01  6.680E-04    9743 A       542 A       733 A   
 160.00 keV   6.123E-01  6.332E-04    1.04 um      558 A       755 A   
 170.00 keV   5.968E-01  6.020E-04    1.11 um      573 A       778 A   
 180.00 keV   5.820E-01  5.740E-04    1.18 um      589 A       800 A   
 200.00 keV   5.544E-01  5.256E-04    1.33 um      640 A       847 A   
 225.00 keV   5.235E-01  4.761E-04    1.53 um      714 A       908 A   
 250.00 keV   4.960E-01  4.357E-04    1.74 um      789 A       971 A   
 275.00 keV   4.715E-01  4.020E-04    1.96 um      864 A      1038 A   
 300.00 keV   4.495E-01  3.735E-04    2.19 um      941 A      1108 A   
 325.00 keV   4.298E-01  3.489E-04    2.43 um     1018 A      1181 A   
 350.00 keV   4.119E-01  3.276E-04    2.68 um     1097 A      1257 A   
 375.00 keV   3.957E-01  3.089E-04    2.94 um     1176 A      1337 A   
 400.00 keV   3.809E-01  2.923E-04    3.22 um     1257 A      1419 A   
 450.00 keV   3.548E-01  2.643E-04    3.79 um     1533 A      1593 A   
 500.00 keV   3.325E-01  2.415E-04    4.41 um     1799 A      1778 A   
 550.00 keV   3.133E-01  2.225E-04    5.07 um     2061 A      1974 A   
 600.00 keV   2.965E-01  2.064E-04    5.76 um     2321 A      2181 A   
 650.00 keV   2.818E-01  1.926E-04    6.50 um     2580 A      2399 A   
 700.00 keV   2.686E-01  1.807E-04    7.27 um     2841 A      2627 A   
 800.00 keV   2.462E-01  1.609E-04    8.92 um     3747 A      3111 A   
 900.00 keV   2.277E-01  1.453E-04   10.71 um     4596 A      3634 A   
   1.00 MeV   2.123E-01  1.325E-04   12.64 um     5421 A      4192 A   
   1.10 MeV   1.998E-01  1.219E-04   14.70 um     6233 A      4783 A   
   1.20 MeV   1.874E-01  1.130E-04   16.90 um     7044 A      5408 A   
   1.30 MeV   1.776E-01  1.054E-04   19.23 um     7862 A      6066 A   
   1.40 MeV   1.689E-01  9.874E-05   21.68 um     8684 A      6756 A   
   1.50 MeV   1.611E-01  9.293E-05   24.25 um     9513 A      7475 A   
   1.60 MeV   1.541E-01  8.781E-05   26.95 um     1.03 um     8224 A   
   1.70 MeV   1.477E-01  8.325E-05   29.76 um     1.12 um     9002 A   
   1.80 MeV   1.419E-01  7.916E-05   32.69 um     1.20 um     9809 A   
   2.00 MeV   1.317E-01  7.214E-05   38.91 um     1.51 um     1.15 um  
   2.25 MeV   1.211E-01  6.501E-05   47.32 um     1.95 um     1.38 um  
   2.50 MeV   1.121E-01  5.922E-05   56.43 um     2.36 um     1.62 um  
   2.75 MeV   1.045E-01  5.442E-05   66.24 um     2.77 um     1.88 um  
