 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Phosphorus

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   2.50 MeV   4.899E+00  1.692E-02    3.63 um     2463 A      3144 A   
   2.75 MeV   4.920E+00  1.566E-02    3.90 um     2522 A      3221 A   
   3.00 MeV   4.932E+00  1.459E-02    4.18 um     2578 A      3295 A   
   3.25 MeV   4.937E+00  1.367E-02    4.46 um     2632 A      3366 A   
   3.50 MeV   4.937E+00  1.287E-02    4.73 um     2685 A      3434 A   
   3.75 MeV   4.933E+00  1.216E-02    5.01 um     2735 A      3501 A   
   4.00 MeV   4.927E+00  1.153E-02    5.29 um     2785 A      3565 A   
   4.50 MeV   4.906E+00  1.046E-02    5.84 um     2934 A      3689 A   
   5.00 MeV   4.880E+00  9.583E-03    6.40 um     3076 A      3809 A   
   5.50 MeV   4.848E+00  8.852E-03    6.96 um     3212 A      3924 A   
   6.00 MeV   4.814E+00  8.232E-03    7.53 um     3344 A      4037 A   
   6.50 MeV   4.777E+00  7.698E-03    8.10 um     3473 A      4147 A   
   7.00 MeV   4.739E+00  7.234E-03    8.67 um     3598 A      4255 A   
   8.00 MeV   4.660E+00  6.465E-03    9.84 um     4013 A      4467 A   
   9.00 MeV   4.578E+00  5.852E-03   11.02 um     4401 A      4675 A   
  10.00 MeV   4.496E+00  5.352E-03   12.23 um     4770 A      4879 A   
  11.00 MeV   4.413E+00  4.935E-03   13.46 um     5124 A      5082 A   
  12.00 MeV   4.332E+00  4.583E-03   14.71 um     5467 A      5283 A   
  13.00 MeV   4.252E+00  4.280E-03   15.99 um     5801 A      5485 A   
  14.00 MeV   4.173E+00  4.017E-03   17.29 um     6129 A      5686 A   
  15.00 MeV   4.096E+00  3.786E-03   18.61 um     6452 A      5888 A   
  16.00 MeV   4.020E+00  3.582E-03   19.96 um     6771 A      6090 A   
  17.00 MeV   3.947E+00  3.400E-03   21.34 um     7087 A      6294 A   
  18.00 MeV   3.875E+00  3.237E-03   22.74 um     7400 A      6499 A   
  20.00 MeV   3.738E+00  2.956E-03   25.62 um     8523 A      6913 A   
  22.50 MeV   3.577E+00  2.669E-03   29.37 um     1.01 um     7442 A   
  25.00 MeV   3.425E+00  2.436E-03   33.28 um     1.16 um     7983 A   
  27.50 MeV   3.257E+00  2.243E-03   37.39 um     1.31 um     8541 A   
  30.00 MeV   3.093E+00  2.079E-03   41.71 um     1.45 um     9121 A   
  32.50 MeV   2.956E+00  1.939E-03   46.24 um     1.60 um     9722 A   
