 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Silver

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 600.00 keV   7.964E-01  1.546E-02    8560 A      2420 A      2484 A   
 650.00 keV   8.319E-01  1.462E-02    9079 A      2469 A      2560 A   
 700.00 keV   8.659E-01  1.388E-02    9581 A      2513 A      2630 A   
 800.00 keV   9.300E-01  1.262E-02    1.05 um     2590 A      2756 A   
 900.00 keV   9.892E-01  1.160E-02    1.15 um     2656 A      2867 A   
   1.00 MeV   1.044E+00  1.074E-02    1.23 um     2712 A      2965 A   
   1.10 MeV   1.094E+00  1.001E-02    1.32 um     2762 A      3053 A   
   1.20 MeV   1.141E+00  9.389E-03    1.40 um     2805 A      3133 A   
   1.30 MeV   1.184E+00  8.845E-03    1.47 um     2844 A      3207 A   
   1.40 MeV   1.224E+00  8.367E-03    1.55 um     2879 A      3274 A   
   1.50 MeV   1.261E+00  7.943E-03    1.62 um     2911 A      3337 A   
   1.60 MeV   1.295E+00  7.564E-03    1.69 um     2941 A      3395 A   
   1.70 MeV   1.327E+00  7.223E-03    1.76 um     2968 A      3450 A   
   1.80 MeV   1.356E+00  6.914E-03    1.83 um     2993 A      3502 A   
   2.00 MeV   1.408E+00  6.376E-03    1.96 um     3041 A      3597 A   
   2.25 MeV   1.461E+00  5.820E-03    2.13 um     3096 A      3705 A   
   2.50 MeV   1.505E+00  5.361E-03    2.28 um     3144 A      3801 A   
   2.75 MeV   1.540E+00  4.975E-03    2.43 um     3187 A      3890 A   
   3.00 MeV   1.567E+00  4.645E-03    2.58 um     3227 A      3972 A   
   3.25 MeV   1.589E+00  4.359E-03    2.73 um     3264 A      4049 A   
   3.50 MeV   1.606E+00  4.110E-03    2.88 um     3298 A      4122 A   
   3.75 MeV   1.619E+00  3.890E-03    3.02 um     3330 A      4191 A   
   4.00 MeV   1.628E+00  3.694E-03    3.17 um     3361 A      4257 A   
   4.50 MeV   1.638E+00  3.360E-03    3.46 um     3431 A      4382 A   
   5.00 MeV   1.640E+00  3.085E-03    3.74 um     3496 A      4500 A   
   5.50 MeV   1.635E+00  2.856E-03    4.03 um     3558 A      4611 A   
   6.00 MeV   1.625E+00  2.660E-03    4.32 um     3618 A      4719 A   
   6.50 MeV   1.612E+00  2.491E-03    4.61 um     3677 A      4823 A   
   7.00 MeV   1.597E+00  2.344E-03    4.91 um     3734 A      4925 A   
   8.00 MeV   1.562E+00  2.100E-03    5.51 um     3892 A      5124 A   
   9.00 MeV   1.524E+00  1.905E-03    6.12 um     4048 A      5319 A   
  10.00 MeV   1.484E+00  1.745E-03    6.75 um     4203 A      5511 A   
  11.00 MeV   1.444E+00  1.612E-03    7.40 um     4359 A      5704 A   
  12.00 MeV   1.405E+00  1.499E-03    8.07 um     4516 A      5898 A   
  13.00 MeV   1.367E+00  1.401E-03    8.75 um     4675 A      6093 A   
  14.00 MeV   1.330E+00  1.317E-03    9.46 um     4837 A      6291 A   
  15.00 MeV   1.295E+00  1.242E-03   10.18 um     5000 A      6492 A   
  16.00 MeV   1.261E+00  1.176E-03   10.93 um     5167 A      6697 A   
  17.00 MeV   1.228E+00  1.118E-03   11.69 um     5336 A      6905 A   
  18.00 MeV   1.197E+00  1.065E-03   12.47 um     5509 A      7118 A   
  20.00 MeV   1.139E+00  9.736E-04   14.10 um     6083 A      7556 A   
  22.50 MeV   1.073E+00  8.806E-04   16.25 um     6937 A      8130 A   
  25.00 MeV   1.018E+00  8.048E-04   18.53 um     7783 A      8734 A   
  27.50 MeV   9.701E-01  7.417E-04   20.93 um     8624 A      9366 A   
  30.00 MeV   9.232E-01  6.884E-04   23.44 um     9467 A      1.00 um  
  32.50 MeV   8.831E-01  6.426E-04   26.08 um     1.03 um     1.07 um  
  35.00 MeV   8.463E-01  6.028E-04   28.83 um     1.12 um     1.14 um  
  37.50 MeV   8.123E-01  5.680E-04   31.70 um     1.20 um     1.22 um  
  40.00 MeV   7.810E-01  5.372E-04   34.69 um     1.29 um     1.30 um  
  45.00 MeV   7.252E-01  4.851E-04   41.02 um     1.60 um     1.46 um  
  50.00 MeV   6.769E-01  4.427E-04   47.82 um     1.89 um     1.64 um  
  55.00 MeV   6.348E-01  4.075E-04   55.09 um     2.18 um     1.83 um  
  60.00 MeV   5.978E-01  3.777E-04   62.82 um     2.47 um     2.03 um  
  65.00 MeV   5.652E-01  3.522E-04   71.02 um     2.76 um     2.24 um  
  70.00 MeV   5.361E-01  3.301E-04   79.68 um     3.05 um     2.46 um  
  80.00 MeV   4.868E-01  2.937E-04   98.33 um     4.09 um     2.93 um  
  90.00 MeV   4.466E-01  2.649E-04  118.78 um     5.07 um     3.45 um  
 100.00 MeV   4.134E-01  2.414E-04  140.96 um     6.03 um     4.01 um  
 110.00 MeV   3.855E-01  2.220E-04  164.84 um     6.97 um     4.61 um  
 120.00 MeV   3.617E-01  2.056E-04  190.37 um     7.92 um     5.25 um  
 130.00 MeV   3.413E-01  1.916E-04  217.50 um     8.88 um     5.92 um  
 140.00 MeV   3.236E-01  1.794E-04  246.18 um     9.84 um     6.63 um  
 150.00 MeV   3.080E-01  1.688E-04  276.38 um    10.81 um     7.37 um  
 160.00 MeV   2.943E-01  1.594E-04  308.04 um    11.79 um     8.15 um  
 170.00 MeV   2.820E-01  1.510E-04  341.14 um    12.78 um     8.96 um  
 180.00 MeV   2.710E-01  1.436E-04  375.62 um    13.78 um     9.80 um  
 200.00 MeV   2.519E-01  1.307E-04  448.61 um    17.40 um    11.56 um  
 225.00 MeV   2.323E-01  1.177E-04  547.16 um    22.52 um    13.92 um  
 250.00 MeV   2.159E-01  1.072E-04  653.61 um    27.31 um    16.45 um  
 275.00 MeV   2.018E-01  9.842E-05  767.82 um    31.97 um    19.14 um  
 300.00 MeV   1.892E-01  9.106E-05  889.82 um    36.59 um    21.98 um  
 325.00 MeV   1.778E-01  8.477E-05    1.02 mm    41.22 um    24.99 um  
 350.00 MeV   1.673E-01  7.932E-05    1.16 mm    45.92 um    28.17 um  
 375.00 MeV   1.582E-01  7.456E-05    1.30 mm    50.69 um    31.52 um  
 400.00 MeV   1.507E-01  7.037E-05    1.46 mm    55.53 um    35.04 um  
 450.00 MeV   1.379E-01  6.331E-05    1.79 mm    73.22 um    42.54 um  
 500.00 MeV   1.274E-01  5.758E-05    2.15 mm    89.80 um    50.64 um  
 550.00 MeV   1.186E-01  5.285E-05    2.54 mm   105.90 um    59.31 um  
 600.00 MeV   1.111E-01  4.886E-05    2.95 mm   121.83 um    68.53 um  
 650.00 MeV   1.047E-01  4.546E-05    3.39 mm   137.71 um    78.29 um  
 700.00 MeV   9.906E-02  4.252E-05    3.86 mm   153.64 um    88.57 um  
 800.00 MeV   8.973E-02  3.768E-05    4.87 mm   211.45 um   110.64 um  
 900.00 MeV   8.229E-02  3.387E-05    5.99 mm   264.94 um   134.62 um  
   1.00 GeV   7.621E-02  3.079E-05    7.19 mm   316.67 um   160.41 um  
