 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Phosphorus

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   4.00 MeV   3.039E+00  5.536E-03    8.52 um     4200 A      5366 A   
   4.50 MeV   2.996E+00  5.016E-03    9.42 um     4441 A      5535 A   
   5.00 MeV   2.950E+00  4.590E-03   10.34 um     4675 A      5700 A   
   5.50 MeV   2.903E+00  4.235E-03   11.27 um     4904 A      5862 A   
   6.00 MeV   2.855E+00  3.934E-03   12.23 um     5129 A      6022 A   
   6.50 MeV   2.808E+00  3.676E-03   13.19 um     5351 A      6181 A   
   7.00 MeV   2.762E+00  3.451E-03   14.17 um     5570 A      6339 A   
   8.00 MeV   2.673E+00  3.080E-03   16.19 um     6333 A      6655 A   
   9.00 MeV   2.589E+00  2.785E-03   18.27 um     7055 A      6973 A   
  10.00 MeV   2.510E+00  2.544E-03   20.42 um     7751 A      7294 A   
  11.00 MeV   2.435E+00  2.344E-03   22.64 um     8427 A      7619 A   
  12.00 MeV   2.366E+00  2.175E-03   24.92 um     9090 A      7949 A   
  13.00 MeV   2.300E+00  2.029E-03   27.27 um     9743 A      8285 A   
  14.00 MeV   2.238E+00  1.904E-03   29.68 um     1.04 um     8626 A   
  15.00 MeV   2.179E+00  1.793E-03   32.17 um     1.10 um     8974 A   
  16.00 MeV   2.123E+00  1.695E-03   34.72 um     1.17 um     9329 A   
  17.00 MeV   2.070E+00  1.609E-03   37.33 um     1.23 um     9690 A   
  18.00 MeV   2.020E+00  1.531E-03   40.01 um     1.29 um     1.01 um  
