 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Si- O

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 500.00 keV   1.786E+00  3.327E-02    2.45 um     3103 A      3775 A   
 550.00 keV   1.891E+00  3.091E-02    2.60 um     3155 A      3876 A   
 600.00 keV   1.992E+00  2.889E-02    2.75 um     3200 A      3966 A   
 650.00 keV   2.088E+00  2.714E-02    2.89 um     3240 A      4046 A   
 700.00 keV   2.179E+00  2.560E-02    3.02 um     3275 A      4119 A   
 800.00 keV   2.350E+00  2.304E-02    3.27 um     3344 A      4246 A   
 900.00 keV   2.505E+00  2.098E-02    3.50 um     3401 A      4353 A   
   1.00 MeV   2.645E+00  1.929E-02    3.72 um     3449 A      4447 A   
   1.10 MeV   2.772E+00  1.787E-02    3.93 um     3491 A      4528 A   
   1.20 MeV   2.887E+00  1.666E-02    4.13 um     3528 A      4601 A   
   1.30 MeV   2.990E+00  1.561E-02    4.33 um     3562 A      4667 A   
   1.40 MeV   3.082E+00  1.470E-02    4.52 um     3592 A      4727 A   
   1.50 MeV   3.165E+00  1.390E-02    4.70 um     3620 A      4782 A   
   1.60 MeV   3.238E+00  1.318E-02    4.88 um     3645 A      4833 A   
   1.70 MeV   3.303E+00  1.254E-02    5.05 um     3669 A      4880 A   
   1.80 MeV   3.361E+00  1.197E-02    5.23 um     3691 A      4925 A   
   2.00 MeV   3.456E+00  1.097E-02    5.56 um     3748 A      5006 A   
   2.25 MeV   3.542E+00  9.956E-03    5.98 um     3820 A      5097 A   
   2.50 MeV   3.599E+00  9.122E-03    6.38 um     3888 A      5180 A   
   2.75 MeV   3.633E+00  8.425E-03    6.78 um     3951 A      5255 A   
   3.00 MeV   3.649E+00  7.834E-03    7.17 um     4011 A      5326 A   
   3.25 MeV   3.651E+00  7.326E-03    7.57 um     4069 A      5392 A   
   3.50 MeV   3.643E+00  6.884E-03    7.97 um     4126 A      5455 A   
   3.75 MeV   3.627E+00  6.495E-03    8.36 um     4182 A      5516 A   
   4.00 MeV   3.605E+00  6.151E-03    8.76 um     4237 A      5575 A   
   4.50 MeV   3.549E+00  5.568E-03    9.57 um     4420 A      5687 A   
   5.00 MeV   3.483E+00  5.092E-03   10.39 um     4600 A      5796 A   
   5.50 MeV   3.414E+00  4.695E-03   11.23 um     4779 A      5902 A   
   6.00 MeV   3.343E+00  4.359E-03   12.09 um     4957 A      6005 A   
   6.50 MeV   3.274E+00  4.071E-03   12.96 um     5136 A      6108 A   
   7.00 MeV   3.205E+00  3.820E-03   13.85 um     5316 A      6211 A   
   8.00 MeV   3.075E+00  3.407E-03   15.70 um     5970 A      6416 A   
   9.00 MeV   2.954E+00  3.078E-03   17.62 um     6605 A      6624 A   
  10.00 MeV   2.844E+00  2.810E-03   19.62 um     7229 A      6837 A   
  11.00 MeV   2.743E+00  2.588E-03   21.69 um     7845 A      7054 A   
  12.00 MeV   2.650E+00  2.400E-03   23.84 um     8457 A      7278 A   
  13.00 MeV   2.564E+00  2.239E-03   26.06 um     9066 A      7508 A   
  14.00 MeV   2.485E+00  2.099E-03   28.35 um     9673 A      7745 A   
  15.00 MeV   2.412E+00  1.977E-03   30.72 um     1.03 um     7989 A   
  16.00 MeV   2.343E+00  1.868E-03   33.16 um     1.09 um     8239 A   
  17.00 MeV   2.279E+00  1.772E-03   35.66 um     1.15 um     8498 A   
  18.00 MeV   2.220E+00  1.686E-03   38.24 um     1.21 um     8763 A   
  20.00 MeV   2.110E+00  1.537E-03   43.59 um     1.44 um     9315 A   
  22.50 MeV   1.989E+00  1.386E-03   50.66 um     1.76 um     1.00 um  
  25.00 MeV   1.888E+00  1.264E-03   58.14 um     2.06 um     1.08 um  
  27.50 MeV   1.795E+00  1.162E-03   66.01 um     2.35 um     1.16 um  
  30.00 MeV   1.701E+00  1.076E-03   74.30 um     2.64 um     1.25 um  
  32.50 MeV   1.619E+00  1.003E-03   83.03 um     2.92 um     1.34 um  
  35.00 MeV   1.546E+00  9.392E-04   92.19 um     3.21 um     1.44 um  
  37.50 MeV   1.479E+00  8.836E-04  101.78 um     3.49 um     1.54 um  
  40.00 MeV   1.417E+00  8.345E-04  111.79 um     3.78 um     1.64 um  
  45.00 MeV   1.309E+00  7.517E-04  133.07 um     4.85 um     1.86 um  
  50.00 MeV   1.216E+00  6.845E-04  156.04 um     5.86 um     2.10 um  
  55.00 MeV   1.135E+00  6.288E-04  180.72 um     6.84 um     2.35 um  
  60.00 MeV   1.064E+00  5.819E-04  207.09 um     7.81 um     2.62 um  
  65.00 MeV   1.002E+00  5.418E-04  235.16 um     8.78 um     2.91 um  
  70.00 MeV   9.459E-01  5.072E-04  264.94 um     9.77 um     3.22 um  
  80.00 MeV   8.511E-01  4.501E-04  329.56 um    13.42 um     3.88 um  
  90.00 MeV   7.735E-01  4.050E-04  401.02 um    16.85 um     4.61 um  
 100.00 MeV   7.091E-01  3.685E-04  479.30 um    20.21 um     5.41 um  
 110.00 MeV   6.547E-01  3.383E-04  564.39 um    23.57 um     6.27 um  
 120.00 MeV   6.083E-01  3.129E-04  656.27 um    26.97 um     7.20 um  
 130.00 MeV   5.683E-01  2.911E-04  754.88 um    30.43 um     8.19 um  
 140.00 MeV   5.335E-01  2.723E-04  860.17 um    33.94 um     9.25 um  
 150.00 MeV   5.030E-01  2.559E-04  972.09 um    37.53 um    10.38 um  
 160.00 MeV   4.760E-01  2.414E-04    1.09 mm    41.17 um    11.57 um  
 170.00 MeV   4.521E-01  2.286E-04    1.22 mm    44.89 um    12.83 um  
 180.00 MeV   4.307E-01  2.171E-04    1.35 mm    48.67 um    14.14 um  
 200.00 MeV   3.941E-01  1.974E-04    1.63 mm    63.05 um    16.97 um  
 225.00 MeV   3.572E-01  1.774E-04    2.01 mm    83.65 um    20.84 um  
 250.00 MeV   3.275E-01  1.613E-04    2.44 mm   103.13 um    25.07 um  
 275.00 MeV   3.030E-01  1.479E-04    2.90 mm   122.20 um    29.66 um  
 300.00 MeV   2.824E-01  1.367E-04    3.39 mm   141.13 um    34.59 um  
 325.00 MeV   2.648E-01  1.271E-04    3.92 mm   160.09 um    39.84 um  
 350.00 MeV   2.495E-01  1.188E-04    4.49 mm   179.16 um    45.42 um  
 375.00 MeV   2.360E-01  1.116E-04    5.09 mm   198.40 um    51.31 um  
 400.00 MeV   2.240E-01  1.052E-04    5.72 mm   217.86 um    57.51 um  
 450.00 MeV   2.037E-01  9.453E-05    7.07 mm   291.03 um    70.83 um  
 500.00 MeV   1.872E-01  8.588E-05    8.56 mm   359.58 um    85.31 um  
 550.00 MeV   1.734E-01  7.872E-05   10.17 mm   426.27 um   100.94 um  
 600.00 MeV   1.618E-01  7.271E-05   11.90 mm   492.32 um   117.68 um  
 650.00 MeV   1.519E-01  6.758E-05   13.75 mm   558.31 um   135.48 um  
