 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Hydrogen

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.0100E-01 g/cm3 = 6.0100E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 275.00 keV   3.781E+00  1.365E-01    4.69 um     2165 A      2647 A   
 300.00 keV   3.919E+00  1.275E-01    5.00 um     2241 A      2738 A   
 325.00 keV   4.047E+00  1.198E-01    5.30 um     2309 A      2821 A   
 350.00 keV   4.166E+00  1.131E-01    5.59 um     2372 A      2898 A   
 375.00 keV   4.278E+00  1.071E-01    5.88 um     2429 A      2970 A   
 400.00 keV   4.385E+00  1.018E-01    6.16 um     2483 A      3037 A   
 450.00 keV   4.585E+00  9.270E-02    6.70 um     2635 A      3159 A   
 500.00 keV   4.776E+00  8.522E-02    7.22 um     2768 A      3268 A   
 550.00 keV   4.962E+00  7.895E-02    7.72 um     2885 A      3366 A   
 600.00 keV   5.147E+00  7.361E-02    8.20 um     2989 A      3455 A   
 650.00 keV   5.336E+00  6.900E-02    8.67 um     3083 A      3537 A   
 700.00 keV   5.528E+00  6.497E-02    9.12 um     3167 A      3611 A   
 800.00 keV   5.930E+00  5.827E-02    9.98 um     3423 A      3743 A   
 900.00 keV   6.354E+00  5.291E-02   10.78 um     3631 A      3855 A   
   1.00 MeV   6.799E+00  4.852E-02   11.53 um     3803 A      3952 A   
   1.10 MeV   7.259E+00  4.484E-02   12.24 um     3948 A      4037 A   
   1.20 MeV   7.728E+00  4.172E-02   12.89 um     4071 A      4110 A   
   1.30 MeV   8.199E+00  3.904E-02   13.52 um     4176 A      4175 A   
   1.40 MeV   8.667E+00  3.670E-02   14.10 um     4269 A      4232 A   
   1.50 MeV   9.125E+00  3.464E-02   14.66 um     4350 A      4283 A   
   1.60 MeV   9.569E+00  3.282E-02   15.19 um     4422 A      4330 A   
   1.70 MeV   9.997E+00  3.119E-02   15.69 um     4486 A      4371 A   
   1.80 MeV   1.041E+01  2.973E-02   16.18 um     4545 A      4409 A   
   2.00 MeV   1.116E+01  2.721E-02   17.10 um     4738 A      4476 A   
   2.25 MeV   1.197E+01  2.463E-02   18.17 um     4986 A      4546 A   
   2.50 MeV   1.265E+01  2.252E-02   19.18 um     5194 A      4605 A   
   2.75 MeV   1.321E+01  2.077E-02   20.14 um     5375 A      4657 A   
   3.00 MeV   1.367E+01  1.928E-02   21.06 um     5538 A      4702 A   
   3.25 MeV   1.404E+01  1.801E-02   21.96 um     5686 A      4743 A   
   3.50 MeV   1.433E+01  1.690E-02   22.84 um     5824 A      4780 A   
   3.75 MeV   1.457E+01  1.593E-02   23.70 um     5954 A      4815 A   
   4.00 MeV   1.475E+01  1.507E-02   24.54 um     6077 A      4847 A   
   4.50 MeV   1.500E+01  1.362E-02   26.21 um     6527 A      4905 A   
   5.00 MeV   1.512E+01  1.244E-02   27.86 um     6937 A      4957 A   
   5.50 MeV   1.515E+01  1.145E-02   29.50 um     7320 A      5005 A   
   6.00 MeV   1.511E+01  1.062E-02   31.15 um     7684 A      5050 A   
   6.50 MeV   1.500E+01  9.908E-03   32.80 um     8035 A      5093 A   
   7.00 MeV   1.485E+01  9.290E-03   34.46 um     8377 A      5134 A   
   8.00 MeV   1.445E+01  8.270E-03   37.86 um     9661 A      5212 A   
   9.00 MeV   1.396E+01  7.462E-03   41.36 um     1.09 um     5287 A   
  10.00 MeV   1.342E+01  6.804E-03   45.00 um     1.20 um     5361 A   
  11.00 MeV   1.287E+01  6.259E-03   48.78 um     1.32 um     5435 A   
  12.00 MeV   1.232E+01  5.799E-03   52.73 um     1.43 um     5510 A   
  13.00 MeV   1.179E+01  5.405E-03   56.86 um     1.55 um     5587 A   
  14.00 MeV   1.127E+01  5.063E-03   61.17 um     1.66 um     5667 A   
  15.00 MeV   1.078E+01  4.764E-03   65.68 um     1.78 um     5749 A   
  16.00 MeV   1.032E+01  4.501E-03   70.40 um     1.90 um     5836 A   
  17.00 MeV   9.881E+00  4.266E-03   75.33 um     2.03 um     5926 A   
  18.00 MeV   9.469E+00  4.056E-03   80.47 um     2.15 um     6021 A   
  20.00 MeV   8.719E+00  3.695E-03   91.42 um     2.65 um     6226 A   
  22.50 MeV   7.909E+00  3.328E-03  106.40 um     3.40 um     6513 A   
  25.00 MeV   7.349E+00  3.031E-03  122.71 um     4.11 um     6838 A   
  27.50 MeV   7.012E+00  2.785E-03  140.04 um     4.78 um     7195 A   
  30.00 MeV   6.575E+00  2.577E-03  158.36 um     5.44 um     7584 A   
