 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Silver

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  14.00 MeV   2.481E+00  2.750E-03    5.52 um     3124 A      4130 A   
  15.00 MeV   2.434E+00  2.597E-03    5.90 um     3207 A      4245 A   
  16.00 MeV   2.387E+00  2.461E-03    6.30 um     3290 A      4361 A   
  17.00 MeV   2.342E+00  2.339E-03    6.70 um     3374 A      4478 A   
  18.00 MeV   2.297E+00  2.230E-03    7.11 um     3458 A      4595 A   
  20.00 MeV   2.210E+00  2.042E-03    7.95 um     3726 A      4833 A   
  22.50 MeV   2.107E+00  1.849E-03    9.05 um     4120 A      5137 A   
  25.00 MeV   2.021E+00  1.692E-03   10.21 um     4511 A      5451 A   
  27.50 MeV   1.942E+00  1.561E-03   11.41 um     4899 A      5774 A   
  30.00 MeV   1.864E+00  1.450E-03   12.66 um     5288 A      6107 A   
  32.50 MeV   1.796E+00  1.354E-03   13.96 um     5679 A      6450 A   
  35.00 MeV   1.732E+00  1.271E-03   15.31 um     6073 A      6804 A   
  37.50 MeV   1.673E+00  1.199E-03   16.71 um     6469 A      7169 A   
  40.00 MeV   1.617E+00  1.134E-03   18.15 um     6869 A      7545 A   
  45.00 MeV   1.517E+00  1.025E-03   21.19 um     8257 A      8331 A   
  50.00 MeV   1.428E+00  9.365E-04   24.43 um     9594 A      9161 A   
  55.00 MeV   1.349E+00  8.626E-04   27.86 um     1.09 um     1.00 um  
  60.00 MeV   1.279E+00  8.002E-04   31.49 um     1.22 um     1.10 um  
  65.00 MeV   1.217E+00  7.467E-04   35.31 um     1.35 um     1.19 um  
  70.00 MeV   1.161E+00  7.002E-04   39.31 um     1.48 um     1.29 um  
  80.00 MeV   1.065E+00  6.236E-04   47.89 um     1.94 um     1.51 um  
  90.00 MeV   9.846E-01  5.628E-04   57.20 um     2.38 um     1.74 um  
 100.00 MeV   9.174E-01  5.134E-04   67.23 um     2.80 um     1.99 um  
 110.00 MeV   8.602E-01  4.724E-04   77.96 um     3.22 um     2.25 um  
 120.00 MeV   8.107E-01  4.377E-04   89.37 um     3.63 um     2.53 um  
 130.00 MeV   7.676E-01  4.080E-04  101.46 um     4.05 um     2.82 um  
 140.00 MeV   7.296E-01  3.823E-04  114.20 um     4.47 um     3.12 um  
 150.00 MeV   6.959E-01  3.598E-04  127.58 um     4.89 um     3.44 um  
 160.00 MeV   6.656E-01  3.400E-04  141.58 um     5.32 um     3.78 um  
 170.00 MeV   6.384E-01  3.223E-04  156.21 um     5.75 um     4.12 um  
 180.00 MeV   6.136E-01  3.064E-04  171.44 um     6.19 um     4.48 um  
 200.00 MeV   5.703E-01  2.792E-04  203.68 um     7.77 um     5.24 um  
 225.00 MeV   5.250E-01  2.516E-04  247.26 um    10.02 um     6.25 um  
 250.00 MeV   4.870E-01  2.292E-04  294.41 um    12.14 um     7.34 um  
 275.00 MeV   4.545E-01  2.106E-04  345.08 um    14.21 um     8.50 um  
 300.00 MeV   4.261E-01  1.949E-04  399.26 um    16.26 um     9.72 um  
 325.00 MeV   4.011E-01  1.815E-04  456.94 um    18.31 um    11.02 um  
 350.00 MeV   3.786E-01  1.699E-04  518.12 um    20.38 um    12.39 um  
 375.00 MeV   3.592E-01  1.598E-04  582.77 um    22.48 um    13.83 um  
