 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Boron

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.50 GeV   8.225E-02  1.832E-05  179.28 mm     7.11 mm   990.19 um  
   6.00 GeV   7.914E-02  1.690E-05  205.65 mm     8.03 mm     1.12 mm  
   6.50 GeV   7.653E-02  1.569E-05  232.98 mm     8.91 mm     1.26 mm  
   7.00 GeV   7.432E-02  1.465E-05  261.19 mm     9.77 mm     1.40 mm  
   8.00 GeV   7.078E-02  1.294E-05  319.86 mm    12.82 mm     1.68 mm  
   9.00 GeV   6.810E-02  1.159E-05  381.15 mm    15.48 mm     1.96 mm  
  10.00 GeV   6.602E-02  1.051E-05  444.61 mm    17.90 mm     2.24 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3501E+01                 eV / Angstrom 
  2.3501E+02                keV / micron   
  2.3501E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7952E+01                 eV / (1E15 atoms/cm2)
  3.3542E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
